"pers_no","date","organizational_unit","location","pers_count","years"
3394,2016-03-15,"Human Resources O-I Asia Pacific","Melbourne",1,2016
3394,2016-03-15,"Human Resources O-I Asia Pacific","Melbourne",1,2016
3394,2016-03-15,"Human Resources Operations","Melbourne",1,2016
3394,2016-03-15,"Human Resources Operations","Melbourne",1,2016
3394,2016-03-15,"Award & HRIS","Melbourne",1,2016
3394,2016-03-15,"Reward & HRIS","Melbourne",1,2016
3395,2016-03-21,"Human Resources O-I Asia Pacific","Melbourne",1,2016
3396,2016-03-21,"Service Desk AP","Melbourne",1,2016
3396,2016-03-21,"IT Operations","Melbourne",1,2016
3397,2016-03-21,"Occupational Health & Safety","Melbourne",1,2016
3397,2016-03-21,"Occupational Health & Safety","Melbourne",1,2016
3398,2016-04-04,"UPM4 C Shift","Melbourne",1,2016
3398,2016-04-04,"UPM3 A Shift","Melbourne",1,2016
3399,2016-04-01,"Regional Integrated Operations","Melbourne",1,2016
3400,2016-03-21,"Occupational Health & Safety","Sydney",1,2016
3400,2016-03-21,"Occupational Health & Safety","Sydney",1,2016
3401,2016-04-18,"Human Resources O-I Asia Pacific","Melbourne",1,2016
3401,2016-04-18,"Talent and Organisational Effectiveness","Melbourne",1,2016
3401,2016-04-18,"Talent and Organisational Effectiveness","Melbourne",1,2016
3402,2016-04-20,"Plant Engineering","Melbourne",1,2016
3402,2016-04-20,"Mechanical Engineering","Melbourne",1,2016
3403,2016-04-26,"Plant Mechanical Sydney","Sydney",1,2016
3404,2016-04-26,"Procurement","Melbourne",1,2016
3404,2016-04-26,"Procurement","Melbourne",1,2016
3405,2016-05-02,"Monthly Reporting and Planning","Melbourne",1,2016
3405,2016-05-02,"Finance O-I Asia Pacific","Melbourne",1,2016
3406,2016-05-02,"C Shift","Adelaide",1,2016
3407,2016-05-02,"Occupational Health & Safety","Melbourne",1,2016
3407,2016-05-02,"Occupational Health & Safety","Melbourne",1,2016
3408,2016-05-09,"Customer Services","Melbourne",1,2016
3408,2016-05-09,"Customer Services","Melbourne",1,2016
3409,2016-05-09,"Mould Repair","Sydney",1,2016
3410,2016-05-16,"Human Resources","Melbourne",1,2016
3411,2016-05-09,"Mould Repair","Brisbane",1,2016
3412,2016-05-30,"Human Resources O-I Asia Pacific","Melbourne",1,2016
3412,2016-05-30,"Human Resources O-I Asia Pacific","Melbourne",1,2016
3412,2016-05-30,"National Payroll","Melbourne",1,2016
3412,2016-05-30,"National Payroll","Melbourne",1,2016
3413,2016-05-30,"Occupational Health & Safety","Melbourne",1,2016
3413,2016-05-30,"Occupational Health & Safety","Melbourne",1,2016
3413,2016-05-30,"O-I Melbourne Plant","Melbourne",1,2016
3414,2016-06-02,"Service Desk AP","Melbourne",1,2016
3415,2016-06-15,"Procurement","Melbourne",1,2016
3415,2016-06-15,"Procurement","Melbourne",1,2016
3415,2016-06-15,"Procurement","Melbourne",1,2016
3416,2016-07-04,"Wine Segment","Adelaide",1,2016
3416,2016-07-04,"Wine Segment","Adelaide",1,2016
3417,2016-07-07,"Human Resources O-I Asia Pacific","Melbourne",1,2016
3417,2016-07-07,"Talent Acquisition","Melbourne",1,2016
3418,2016-06-13,"D Shift","Brisbane",1,2016
3418,2016-06-13,"D Shift","Brisbane",1,2016
