"pers_no","action_type","reason_for_action","company_code","company_code_1","personnel_area","personnel_subarea","cost_ctr","cost_center","organizational_unit","start_date_action","end_date_action","organizational_key","position","date"
10000651,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Day Glass",1240,"NZ Maint - Machine","Machine Maintenance","26/05/2014","2/08/2014","","Machine Maintenance Fitter","26/05/2014"
10000652,"Hire Employee","New position",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1310,"NZ Non Operating","Manufacturing","26/05/2014","8/01/2016","","Graduate - Manufacturing","26/05/2014"
10000652,"Hire Employee","New position",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1400,"NZ Admin","Administration","26/05/2014","8/01/2016","","Graduate - Manufacturing","26/05/2014"
10000653,"Hire Employee","New position",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1310,"NZ Non Operating","Manufacturing","26/05/2014","10/10/2014","","Graduate - Manufacturing","26/05/2014"
10000653,"Hire Employee","New position",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1400,"NZ Admin","Administration","26/05/2014","10/10/2014","","Graduate - Manufacturing","26/05/2014"
10000653,"Rehire","No reason specified",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1400,"NZ Admin","Administration","4/12/2014","4/10/2015","","Graduate - Manufacturing","26/05/2014"
10000653,"Rehire","No reason specified",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Wages Other",1400,"NZ Admin","Administration","4/12/2014","4/10/2015","","Temporary Day Shift Relief","26/05/2014"
10000654,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Shift Glass",1130,"NZ Forming","Forming B Shift","18/06/2014","2/08/2014","","Bottle Machine Operator Grade 3","18/06/2014"
10000655,"Hire Employee","New position",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1360,"NZ Sales","Sales","21/07/2014","30/06/2016","","Customer Service Officer","21/07/2014"
10000655,"Hire Employee","New position",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1360,"NZ Sales","Sales & Marketing","21/07/2014","30/06/2016","","Customer Service Officer","21/07/2014"
10000656,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Day Glass",1220,"NZ Maint - General","Plant Maintenance","28/07/2014","2/08/2014","","Plant Maintenance Fitter","28/07/2014"
10000657,"Hire Employee","No reason specified",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Day Elec",1230,"NZ Maint - Elec Plan","Electrical","25/08/2014","1/08/2015","","Temporary Electrican","25/08/2014"
10000658,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1365,"NZ Marketing","Marketing","1/09/2014","30/11/2016","","Industry Marketing Manager","1/09/2014"
10000658,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1360,"NZ Sales","Sales - Wine, Food and Distributors","1/09/2014","30/11/2016","","Industry Marketing Manager","1/09/2014"
10000658,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1360,"NZ Sales","Sales - Wine, Food and Distributors","1/09/2014","30/11/2016","","Industry Marketing Manager","1/09/2014"
10000659,"Hire Employee","New position",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1300,"NZ Finance","Finance","8/09/2014","13/06/2017","","Credit Controller","8/09/2014"
10000660,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1400,"NZ Admin","Human Resources","22/09/2014","7/04/2017","","Human Resources Manager","22/09/2014"
10000661,"Hire Employee","No reason specified",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Day Glass",1190,"NZ Resort","Temporary Resort","3/11/2014","19/12/2014","","Temporary Resorter","3/11/2014"
10000661,"Rehire","No reason specified",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Day Glass",1190,"NZ Resort","Temporary Resort","5/01/2015","8/03/2015","","Temporary Resorter","3/11/2014"
10000662,"Hire Employee","No reason specified",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Day Glass",1190,"NZ Resort","Temporary Resort","3/11/2014","19/12/2014","","Temporary Resorter","3/11/2014"
10000662,"Rehire","No reason specified",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Day Glass",1190,"NZ Resort","Temporary Resort","5/01/2015","1/08/2015","","Temporary Resorter","3/11/2014"
10000663,"Hire Employee","No reason specified",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Day Glass",1190,"NZ Resort","Temporary Resort","3/11/2014","19/12/2014","","Temporary Resorter","3/11/2014"
10000663,"Rehire","No reason specified",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Day Glass",1190,"NZ Resort","Temporary Resort","5/01/2015","10/05/2015","","Temporary Resorter","3/11/2014"
10000664,"Hire Employee","No reason specified",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Day Glass",1190,"NZ Resort","Temporary Resort","5/01/2015","1/08/2015","","Temporary Resorter","5/01/2015"
10000664,"Rehire","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Shift Glass",1160,"NZ Inspect","Finished Products D Shift","23/06/2019","31/12/9999","Manufacturing & Engineering","Multi-Skilled Operator Trainee","23/06/2019"
