"pers_no","action_type","reason_for_action","co_cd","company_code","personnel_area","personnel_subarea","cost_ctr","cost_center","organizational_unit","date","turnover","turn_abs"
90003200,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Wages","Jkta Day Glass",10170,"JKT Pack","Quality Service","1/12/2014",1,1
90003200,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Wages","Jkta Shft Glass",10170,"JKT Pack","Quality Service","1/12/2014",1,1
90003201,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Staff","Jkta Day No Awd",10300,"JKT Finance","Finance","5/01/2015",1,1
90003202,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Staff","Jkta Day No Awd",10300,"JKT Finance","Finance","5/01/2015",1,1
90003203,"Hire Employee","New position",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Staff","Jkta Day No Awd",10100,"JKT Batch","Batch & Furnace","5/01/2015",1,1
90003204,"Hire Employee","New position",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Staff","Jkta Day No Awd",10230,"JKT Maintenance-Elec","Electrical","5/01/2015",1,1
90003204,"Hire Employee","New position",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Staff","Jkta Shft Staff",10230,"JKT Maintenance-Elec","Electrical","5/01/2015",1,1
90003205,"Hire Employee","New position",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Staff","Jkta Day No Awd",10230,"JKT Maintenance-Elec","Electrical","5/01/2015",1,1
90003205,"Hire Employee","New position",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Staff","Jkta Shft Staff",10230,"JKT Maintenance-Elec","Electrical","5/01/2015",1,1
90003206,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Staff","Jkta Day No Awd",10260,"JKT Plant Reliabilty","Mechanical Engineering","5/01/2015",1,1
90003206,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Staff","Jkta Day No Awd",10240,"JKT Maintenance-Mc","Mechanical Engineering","5/01/2015",1,1
90003207,"Hire Employee","New position",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Staff","Jkta Day No Awd",10160,"JKT Inspect","Inspection Packaging","5/01/2015",1,1
90003208,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Staff","Jkta Day No Awd",10270,"JKT Manufacturing","Manufacturing","5/01/2015",1,1
