Pers.no.,Action Type,Reason for Action,CoCd,Company Code,Personnel Area,Personnel Subarea,Cost ctr code,Cost Center,Organizational Unit,Date,Turnover,TurnABS
00000466,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9120,SYD Forming Services,D Shift,13/12/2001,-1,1
00000467,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9004,SYD Shift 4,D Shift,13/11/2013,-1,1
00000468,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9130,SYD Forming,B Shift,29/10/2006,-1,1
00000471,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9180,SYD Audit,Plant Procedures & Specifications (ISO),18/06/2005,-1,1
00000475,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9160,SYD Inspect,C Shift,3/10/2009,-1,1
00000476,Termination (HR checklist),Retrenchment,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9250,SYD Maint - Cold End,Maintenance-Cold End,7/12/2011,-1,1
00000477,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9001,SYD Shift 1,A Shift,25/04/2013,-1,1
00000478,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9110,SYD Melt,Batch & Furnace,29/12/2013,-1,1
00000481,Auto Terminations,Retirement,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9815,SYD SP31 MachineLine,D Shift,16/01/2019,-1,1
00000482,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9180,SYD Audit,Stock Control,8/07/2007,-1,1
00000485,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9180,SYD Audit,Plant Procedures & Specifications (ISO),9/03/2002,-1,1
00000488,Auto Terminations,Illness Disability,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9160,SYD Inspect,A Shift,15/09/2007,-1,1
00000490,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9230,SYD Maint - Electric,Plant Electrical Sydney,28/11/2013,-1,1
00000491,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9130,SYD Forming,A Shift,5/07/2009,-1,1
00000493,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9330,SYD Procurement,Business Services,14/11/2001,-1,1
00000494,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9220,SYD Maint - General,Plant Mechanical Sydney,13/11/2013,-1,1
