"pers_no","action_type","reason_for_action","organizational_unit","date","turnover","turn_abs","location","years"
911,"Auto Terminations","Dismissal","Plant Engineering",2015-10-03,-1,1,"Melbourne",2015
919,"Auto Terminations","Resignation","Adelaide Plant",2018-12-15,-1,1,"Adelaide",2018
920,"Auto Terminations","Retirement","Regional Quality",2017-02-01,-1,1,"Melbourne",2017
922,"Auto Terminations","Resignation","ACI Packaging",2006-01-01,-1,1,"Other",2006
923,"Auto Terminations","Resignation","Cold End A Shift",2002-02-01,-1,1,"Brisbane",2002
924,"Auto Terminations","Resignation","Business Services",2006-05-06,-1,1,"Brisbane",2006
928,"Auto Terminations","Retirement","New Product Development",2011-03-01,-1,1,"Melbourne",2011
930,"Auto Terminations","Retrenchment(2008+)","ANZ Logistics",2017-10-01,-1,1,"Melbourne",2017
934,"Auto Terminations","Retirement","Mechanical Services",2006-11-18,-1,1,"Brisbane",2006
936,"Auto Terminations","Resignation","O-I Melbourne Plant",2009-10-24,-1,1,"Melbourne",2009
937,"Auto Terminations","Resignation","Engineering",2003-01-21,-1,1,"Adelaide",2003
938,"Auto Terminations","Dismissal","Regional Quality",2006-11-28,-1,1,"Melbourne",2006
939,"Auto Terminations","Retrenchment(2008+)","Cullet Business Development",2018-07-02,-1,1,"Melbourne",2018
943,"Auto Terminations","Retirement","Mould Design and Draughting",2009-10-10,-1,1,"Melbourne",2009
944,"Auto Terminations","Non SAP Company Transfer","Expatriates",2014-11-01,-1,1,"Other",2014
947,"Auto Terminations","Retirement","C Shift",2012-11-01,-1,1,"Brisbane",2012
948,"Auto Terminations","Resignation","Plant Engineering",2005-08-27,-1,1,"Melbourne",2005
949,"Auto Terminations","Resignation","Engineering Services",2001-11-17,-1,1,"Melbourne",2001
950,"Auto Terminations","Resignation","Commercial Accounting",2014-09-19,-1,1,"Melbourne",2014
951,"Auto Terminations","Retrenchment(2008+)","Operational Advancement & Capability",2017-12-16,-1,1,"Melbourne",2017
952,"Auto Terminations","Retirement","Applications",2016-08-03,-1,1,"Melbourne",2016
953,"Auto Terminations","Resignation","Business Services",2007-05-05,-1,1,"Melbourne",2007
954,"Auto Terminations","Resignation","Engineering Services",2004-06-26,-1,1,"Melbourne",2004
955,"Auto Terminations","Resignation","Distribution",2013-01-01,-1,1,"Melbourne",2013
956,"Auto Terminations","Resignation","Distribution - New South Wales",2002-10-12,-1,1,"Sydney",2002
960,"Auto Terminations","Retirement","Inspection & Packaging",2007-12-01,-1,1,"Brisbane",2007
962,"Auto Terminations","Retrenchment(2008+)","UPM",2014-09-11,-1,1,"Adelaide",2014
966,"Auto Terminations","Resignation","Monthly Reporting and Planning",2005-11-19,-1,1,"Melbourne",2005
969,"Auto Terminations","Retirement","Operational Advancement",2017-07-04,-1,1,"Melbourne",2017
972,"Auto Terminations","Resignation","Integrated Systems and Risk",2013-12-21,-1,1,"Melbourne",2013
975,"Auto Terminations","Retrenchment(2008+)","Product & Mould Design",2013-08-01,-1,1,"Melbourne",2013
978,"Auto Terminations","Dismissal","Human Resources",2009-06-06,-1,1,"Melbourne",2009
983,"Auto Terminations","Retrenchment(2008+)","Quantum_Master Data",2018-12-19,-1,1,"Melbourne",2018
985,"Auto Terminations","Resignation","Operational Advancement",2017-08-17,-1,1,"Melbourne",2017
986,"Auto Terminations","Resignation","Lean Six Sigma",2018-01-01,-1,1,"Melbourne",2018
987,"Auto Terminations","Resignation","Procurement",2013-06-15,-1,1,"Melbourne",2013
994,"Auto Terminations","Resignation","SAP Basis",2011-08-27,-1,1,"Melbourne",2011
995,"Auto Terminations","Resignation","Information Technology",2001-11-17,-1,1,"Melbourne",2001
996,"Auto Terminations","Resignation","Human Resources",2006-07-08,-1,1,"Sydney",2006
997,"Auto Terminations","Retirement","Human Resources",2010-01-29,-1,1,"Melbourne",2010
998,"Auto Terminations","Illness Disability","C Shift",2001-10-27,-1,1,"Melbourne",2001
999,"Auto Terminations","Retrenchment(2008+)","Integrated Systems & Risk",2014-09-11,-1,1,"Adelaide",2014
1003,"Auto Terminations","Resignation","Procurement",2003-09-01,-1,1,"Melbourne",2003
1006,"Auto Terminations","Resignation","Business Services",2004-05-01,-1,1,"Brisbane",2004
1008,"Auto Terminations","Resignation","Business Services",2005-05-10,-1,1,"Adelaide",2005
1015,"Auto Terminations","Resignation","B Shift",2006-11-02,-1,1,"Melbourne",2006
1021,"Auto Terminations","Illness Disability","D Shift",2005-01-31,-1,1,"Melbourne",2005
1025,"Auto Terminations","Dismissal","Job Change",2009-10-22,-1,1,"Melbourne",2009
1031,"Auto Terminations","Resignation","Forming",2001-12-31,-1,1,"Melbourne",2001
1039,"Auto Terminations","Retirement","A Shift",2010-08-02,-1,1,"Melbourne",2010
1041,"Auto Terminations","Dismissal","A Shift",2005-07-12,-1,1,"Melbourne",2005
1059,"Auto Terminations","Approved Early Retirement","Distribution - Victoria",2001-10-13,-1,1,"Melbourne",2001
1072,"Auto Terminations","Retrenchment(2008+)","Inspection & Packaging",2013-12-21,-1,1,"Melbourne",2013
1074,"Auto Terminations","Illness Disability","E Shift",2008-08-11,-1,1,"Melbourne",2008
1076,"Auto Terminations","Resignation","Engineering Services",2003-06-16,-1,1,"Melbourne",2003
1077,"Auto Terminations","Abandonment","Plant Procedures & Specifications (ISO)",2006-07-31,-1,1,"Melbourne",2006
1087,"Auto Terminations","Illness Disability","Pack Centre",2014-05-22,-1,1,"Melbourne",2014
1096,"Auto Terminations","Retrenchment(2008+)","Stores",2017-07-29,-1,1,"Melbourne",2017
1099,"Auto Terminations","Retrenchment(Don't Use)","B Shift",2010-05-11,-1,1,"Melbourne",2010
1105,"Auto Terminations","Retirement","Cold End Job Change",2018-04-28,-1,1,"Melbourne",2018
1113,"Auto Terminations","Illness Disability","Shift D",2018-05-16,-1,1,"Melbourne",2018
1116,"Termination (HR checklist)","Dismissal","Mould Repair",2006-05-27,-1,1,"Melbourne",2006
1117,"Auto Terminations","Illness Disability","A Shift",2002-10-23,-1,1,"Melbourne",2002
1118,"Auto Terminations","Resignation","Engineering Services",2007-04-23,-1,1,"Melbourne",2007
1119,"Auto Terminations","Illness Disability","B Shift",2007-07-24,-1,1,"Melbourne",2007
1120,"Auto Terminations","Illness Disability","D Shift",2008-08-18,-1,1,"Melbourne",2008
1122,"Auto Terminations","Resignation","E Shift",2006-11-20,-1,1,"Melbourne",2006
1125,"Auto Terminations","Dismissal","Batch & Furnace",2009-10-01,-1,1,"Melbourne",2009
1127,"Auto Terminations","Illness Disability","Batch & Furnace",2005-01-31,-1,1,"Melbourne",2005
1150,"Auto Terminations","Dismissal","Forming",2004-07-26,-1,1,"Melbourne",2004
1162,"Auto Terminations","Retrenchment(2008+)","UPM3 A Shift",2013-12-30,-1,1,"Melbourne",2013
1183,"Auto Terminations","Dismissal","A Shift",2003-11-29,-1,1,"Melbourne",2003
1199,"Auto Terminations","Resignation","Mould Repair",2003-04-04,-1,1,"Melbourne",2003
1213,"Auto Terminations","Dismissal","Integrated Systems and Risk",2014-08-20,-1,1,"Melbourne",2014
1246,"Auto Terminations","Dismissal","C Shift",2003-01-13,-1,1,"Melbourne",2003
1253,"Auto Terminations","Illness Disability","C Shift",2004-04-30,-1,1,"Melbourne",2004
1274,"Auto Terminations","Dismissal","C Shift",2007-06-29,-1,1,"Melbourne",2007
1276,"Auto Terminations","Resignation","A Shift",2009-01-26,-1,1,"Melbourne",2009
1286,"Auto Terminations","Approved Early Retirement","B Shift",2008-06-20,-1,1,"Melbourne",2008
1297,"Auto Terminations","Illness Disability","Distribution - Victoria",2007-03-03,-1,1,"Melbourne",2007
1300,"Termination (HR checklist)","Deceased","Integrates Systems and Risk C Shift",2015-07-30,-1,1,"Melbourne",2015
1303,"Auto Terminations","Illness Disability","A Shift",2008-07-26,-1,1,"Melbourne",2008
1304,"Auto Terminations","Illness Disability","D Shift",2007-03-03,-1,1,"Melbourne",2007
1306,"Auto Terminations","Resignation","Engineering Services",2001-09-28,-1,1,"Melbourne",2001
1313,"Auto Terminations","Illness Disability","A Shift",2007-11-10,-1,1,"Melbourne",2007
1323,"Termination (HR checklist)","Resignation","D Shift",2008-09-07,-1,1,"Melbourne",2008
1337,"Auto Terminations","Resignation","B Shift",2011-08-31,-1,1,"Melbourne",2011
1347,"Auto Terminations","Illness Disability","E Shift",2011-04-09,-1,1,"Melbourne",2011
1354,"Auto Terminations","Resignation","A Shift",2003-04-07,-1,1,"Melbourne",2003
1356,"Auto Terminations","Retirement","D Shift",2011-10-28,-1,1,"Adelaide",2011
1361,"Auto Terminations","Resignation","A Shift",2001-09-11,-1,1,"Adelaide",2001
1362,"Auto Terminations","Retrenchment(2008+)","Plant Reliability",2014-10-02,-1,1,"Adelaide",2014
1366,"Auto Terminations","Resignation","Forming",2008-10-08,-1,1,"Adelaide",2008
1368,"Auto Terminations","Retrenchment(2008+)","Plant Reliability",2014-10-02,-1,1,"Adelaide",2014
1372,"Auto Terminations","Resignation","Batch and Furnace",2003-04-07,-1,1,"Adelaide",2003
1373,"Auto Terminations","Retrenchment(2008+)","Plant Reliability",2014-10-02,-1,1,"Adelaide",2014
1374,"Auto Terminations","Resignation","D Shift",2003-10-15,-1,1,"Adelaide",2003
1375,"Auto Terminations","Resignation","A Shift",2011-10-15,-1,1,"Adelaide",2011
1382,"Auto Terminations","Retrenchment(2008+)","Quality Control",2014-10-02,-1,1,"Adelaide",2014
1383,"Auto Terminations","Resignation","B Shift",2002-09-20,-1,1,"Adelaide",2002
1384,"Auto Terminations","Retirement","A Shift",2010-01-03,-1,1,"Adelaide",2010
1385,"Auto Terminations","Resignation","Mould Repair",2012-11-17,-1,1,"Adelaide",2012
1389,"Auto Terminations","Retirement","Inspection & Packaging",2009-08-22,-1,1,"Adelaide",2009
1390,"Auto Terminations","Resignation","D Shift",2012-11-13,-1,1,"Adelaide",2012
1393,"Auto Terminations","Resignation","Engineering",2003-08-02,-1,1,"Adelaide",2003
1394,"Auto Terminations","Resignation","Human Resources",2005-01-22,-1,1,"Adelaide",2005
1397,"Auto Terminations","Resignation","Batch and Furnace",2006-11-03,-1,1,"Adelaide",2006
1400,"Auto Terminations","Retrenchment(Don't Use)","D Shift",2010-03-06,-1,1,"Adelaide",2010
1402,"Auto Terminations","Resignation","Maintenance - Cold End",2001-11-10,-1,1,"Adelaide",2001
1408,"Auto Terminations","Retirement","Machine Maintenance",2009-08-01,-1,1,"Adelaide",2009
1411,"Auto Terminations","Retrenchment(2008+)","Integrated Systems & Risk",2014-09-10,-1,1,"Adelaide",2014
1414,"Auto Terminations","Resignation","UPM",2014-04-26,-1,1,"Adelaide",2014
1419,"Auto Terminations","Retirement","D Shift",2010-01-21,-1,1,"Adelaide",2010
1424,"Auto Terminations","Retrenchment(Don't Use)","E Shift",2010-03-08,-1,1,"Adelaide",2010
1425,"Auto Terminations","Retrenchment(2008+)","Business Services",2014-10-02,-1,1,"Adelaide",2014
1426,"Auto Terminations","Resignation","Engineering",2001-10-27,-1,1,"Adelaide",2001
1431,"Auto Terminations","Resignation","Manufacturing",2012-03-14,-1,1,"Sydney",2012
1433,"Auto Terminations","Retirement","Maintenance - Cold End",2012-03-24,-1,1,"Adelaide",2012
1434,"Auto Terminations","Resignation","E Shift",2001-12-01,-1,1,"Adelaide",2001
1437,"Auto Terminations","Approved Early Retirement","Forming",2007-02-06,-1,1,"Adelaide",2007
1441,"Auto Terminations","Resignation","C Shift",2007-11-29,-1,1,"Adelaide",2007
1444,"Auto Terminations","Retrenchment (NZ Only 2010+)","Inspection & Packaging",2001-03-03,-1,1,"Adelaide",2001
1448,"Auto Terminations","Approved Early Retirement","Forming",2004-11-06,-1,1,"Adelaide",2004
1450,"Auto Terminations","Approved Early Retirement","A Shift",2007-01-20,-1,1,"Adelaide",2007
1452,"Auto Terminations","Retrenchment (NZ Only 2010+)","Inspection & Packaging",2001-03-03,-1,1,"Adelaide",2001
1454,"Auto Terminations","Retrenchment (NZ Only 2010+)","Inspection & Packaging",2001-03-03,-1,1,"Adelaide",2001
1456,"Auto Terminations","Retrenchment(2008+)","Electrical Maintenance",2014-10-02,-1,1,"Adelaide",2014
1457,"Auto Terminations","Retrenchment(2008+)","B Shift",2014-11-01,-1,1,"Adelaide",2014
1459,"Auto Terminations","Resignation","Manufacturing",2007-10-20,-1,1,"Adelaide",2007
1460,"Auto Terminations","Retrenchment(2008+)","Job Change",2015-04-23,-1,1,"Adelaide",2015
1464,"Auto Terminations","Retrenchment(2008+)","C Shift",2015-05-01,-1,1,"Adelaide",2015
1466,"Auto Terminations","Retrenchment(2008+)","C Shift",2014-10-02,-1,1,"Adelaide",2014
1467,"Auto Terminations","Retrenchment(2008+)","Mould and Machine Maintenance",2014-10-02,-1,1,"Adelaide",2014
1469,"Auto Terminations","Resignation","A Shift",2002-02-25,-1,1,"Adelaide",2002
1470,"Auto Terminations","Resignation","C Shift",2014-02-21,-1,1,"Adelaide",2014
1474,"Auto Terminations","Retrenchment(2008+)","Job Change",2014-10-02,-1,1,"Adelaide",2014
1476,"Auto Terminations","Retrenchment(2008+)","C Shift",2014-10-02,-1,1,"Adelaide",2014
1477,"Auto Terminations","Resignation","B Shift",2003-11-07,-1,1,"Adelaide",2003
1478,"Auto Terminations","Retrenchment(2008+)","Mould and Machine Maintenance",2014-10-15,-1,1,"Adelaide",2014
1480,"Auto Terminations","Retirement","Maintenance - Cold End",2011-11-29,-1,1,"Adelaide",2011
1481,"Auto Terminations","Resignation","C Shift",2002-01-30,-1,1,"Adelaide",2002
1484,"Auto Terminations","Resignation","A Shift",2001-11-16,-1,1,"Adelaide",2001
1486,"Auto Terminations","Resignation","C Shift",2002-03-11,-1,1,"Adelaide",2002
1489,"Auto Terminations","Retrenchment(2008+)","Plant Maintenance",2015-08-29,-1,1,"Adelaide",2015
1490,"Auto Terminations","Retirement","Forming",2008-03-28,-1,1,"Adelaide",2008
1491,"Auto Terminations","Retrenchment(2008+)","Mould and Machine Maintenance",2014-10-02,-1,1,"Adelaide",2014
1494,"Auto Terminations","Resignation","C Shift",2002-02-06,-1,1,"Adelaide",2002
1495,"Auto Terminations","Retrenchment(2008+)","E Shift",2015-04-23,-1,1,"Adelaide",2015
1497,"Auto Terminations","Resignation","O-I Brisbane Plant",2017-07-29,-1,1,"Brisbane",2017
1499,"Auto Terminations","Retrenchment(2008+)","Plant Maintenance",2014-10-02,-1,1,"Adelaide",2014
1501,"Auto Terminations","Retrenchment(2008+)","D Shift",2015-04-23,-1,1,"Adelaide",2015
1502,"Auto Terminations","Dismissal","Job Change",2013-10-15,-1,1,"Adelaide",2013
1503,"Auto Terminations","Retrenchment(2008+)","A Shift",2014-10-15,-1,1,"Adelaide",2014
1506,"Auto Terminations","Resignation","C Shift",2004-11-30,-1,1,"Adelaide",2004
1509,"Auto Terminations","Retrenchment (NZ Only 2010+)","Inspection & Packaging",2001-03-03,-1,1,"Adelaide",2001
1511,"Auto Terminations","Retirement","D Shift",2011-06-20,-1,1,"Adelaide",2011
1512,"Auto Terminations","Resignation","Engineering",2002-08-30,-1,1,"Adelaide",2002
1514,"Auto Terminations","Retrenchment(2008+)","Plant Maintenance",2014-10-15,-1,1,"Adelaide",2014
1515,"Auto Terminations","Retrenchment(2008+)","Electrical Maintenance",2014-10-02,-1,1,"Adelaide",2014
1516,"Auto Terminations","Retrenchment(2008+)","A Shift",2014-10-02,-1,1,"Adelaide",2014
1518,"Auto Terminations","Resignation","Batch and Furnace",2012-01-14,-1,1,"Adelaide",2012
1519,"Auto Terminations","Resignation","A Shift",2003-05-30,-1,1,"Adelaide",2003
1520,"Auto Terminations","Resignation","D Shift",2003-04-23,-1,1,"Adelaide",2003
1521,"Auto Terminations","Resignation","Inspection & Packaging",2008-01-30,-1,1,"Adelaide",2008
1523,"Auto Terminations","Dismissal","Forming",2005-02-04,-1,1,"Adelaide",2005
1524,"Auto Terminations","Resignation","B Shift",2006-09-23,-1,1,"Adelaide",2006
1528,"Auto Terminations","Retirement","D Shift",2011-01-01,-1,1,"Adelaide",2011
1529,"Auto Terminations","Retrenchment(Don't Use)","E Shift",2010-03-08,-1,1,"Adelaide",2010
1530,"Auto Terminations","Retrenchment(2008+)","B Shift",2014-11-01,-1,1,"Adelaide",2014
1531,"Auto Terminations","Resignation","C Shift",2002-02-25,-1,1,"Adelaide",2002
1533,"Auto Terminations","Retrenchment(2008+)","Machine Maintenance",2014-10-02,-1,1,"Adelaide",2014
1536,"Auto Terminations","Resignation","D Shift",2002-02-25,-1,1,"Adelaide",2002
1537,"Auto Terminations","Resignation","C Shift",2007-09-06,-1,1,"Adelaide",2007
1540,"Auto Terminations","Retrenchment(2008+)","A Shift",2015-04-23,-1,1,"Adelaide",2015
1545,"Auto Terminations","Resignation","C Shift",2002-02-08,-1,1,"Adelaide",2002
1547,"Auto Terminations","Resignation","Job Change",2001-10-06,-1,1,"Adelaide",2001
1548,"Auto Terminations","Abandonment","D Shift",2006-06-12,-1,1,"Adelaide",2006
1549,"Auto Terminations","Resignation","A Shift",2003-10-13,-1,1,"Adelaide",2003
1551,"Auto Terminations","Resignation","Forming",2003-03-07,-1,1,"Adelaide",2003
1554,"Auto Terminations","Retirement","B Shift",2010-07-23,-1,1,"Adelaide",2010
1555,"Auto Terminations","Approved Early Retirement","D Shift",2004-07-06,-1,1,"Adelaide",2004
1556,"Auto Terminations","Resignation","D Shift",2002-02-25,-1,1,"Adelaide",2002
1559,"Auto Terminations","Retirement","D Shift",2010-08-31,-1,1,"Adelaide",2010
1560,"Auto Terminations","Resignation","E Shift",2008-02-02,-1,1,"Adelaide",2008
1564,"Termination (HR checklist)","Resignation","Distribution - Queensland",2003-02-08,-1,1,"Brisbane",2003
1565,"Termination (HR checklist)","Deceased","Cold End C Shift",2006-07-03,-1,1,"Brisbane",2006
1566,"Auto Terminations","Resignation","Hot End A Shift",2007-10-22,-1,1,"Brisbane",2007
1567,"Auto Terminations","Illness Disability","C Shift",2012-09-29,-1,1,"Brisbane",2012
1568,"Auto Terminations","Retirement","Mould Repair",2007-12-15,-1,1,"Brisbane",2007
1569,"Auto Terminations","Retirement","Mould Repair",2014-10-02,-1,1,"Brisbane",2014
1571,"Auto Terminations","Retirement","Forming Team",2018-09-18,-1,1,"Brisbane",2018
1572,"Auto Terminations","Retirement","D Shift",2009-08-24,-1,1,"Brisbane",2009
1574,"Auto Terminations","Retirement","Hot End C Shift",2008-11-09,-1,1,"Brisbane",2008
1578,"Auto Terminations","Retirement","C Shift",2011-11-14,-1,1,"Brisbane",2011
1579,"Auto Terminations","Retirement","Electrical Services",2017-09-06,-1,1,"Brisbane",2017
1580,"Termination (HR checklist)","Retirement (age)","Mechanical Services",2010-05-08,-1,1,"Brisbane",2010
1581,"Auto Terminations","Contract Expired","Forming Maintenance",2002-03-09,-1,1,"Brisbane",2002
1586,"Auto Terminations","Retirement","Cold End B Shift",2007-07-11,-1,1,"Brisbane",2007
1588,"Auto Terminations","Retirement","Unit Plant QG31",2018-02-18,-1,1,"Brisbane",2018
1589,"Auto Terminations","Resignation","Hot End C Shift",2008-12-14,-1,1,"Brisbane",2008
1591,"Auto Terminations","Approved Early Retirement","Mould Repair",2004-07-31,-1,1,"Brisbane",2004
1592,"Auto Terminations","Resignation","Mould Repair",2000-04-29,-1,1,"Brisbane",2000
1593,"Auto Terminations","Contract Expired","Electrical Services",2002-03-23,-1,1,"Brisbane",2002
1594,"Auto Terminations","Retirement","D Shift",2013-08-02,-1,1,"Brisbane",2013
1596,"Auto Terminations","Retirement","D Shift",2014-12-30,-1,1,"Brisbane",2014
1597,"Auto Terminations","Illness Disability","Cold End A Shift",2006-02-13,-1,1,"Brisbane",2006
