"pers_no","action_type","reason_for_action","organizational_unit","date","turnover","turn_abs","location","years"
753,"Termination (HR checklist)","Retrenchment","Information Technology",2009-01-01,-1,1,"Melbourne",2009
754,"Auto Terminations","Resignation","Customer Technical Services Australia",2002-01-01,-1,1,"Melbourne",2002
757,"Auto Terminations","Resignation","Financial Operations",2011-05-27,-1,1,"Melbourne",2011
759,"Auto Terminations","Resignation","Specifications & Quality Mgt Systems",2002-12-14,-1,1,"Melbourne",2002
761,"Auto Terminations","Retrenchment(2008+)","ANZ Planning",2017-12-30,-1,1,"Melbourne",2017
766,"Auto Terminations","Dismissal","E Shift",2012-09-11,-1,1,"Melbourne",2012
768,"Auto Terminations","Dismissal","O-I Australia",2015-01-01,-1,1,"Melbourne",2015
771,"Auto Terminations","Retirement","Australian Financial Operations",2013-11-01,-1,1,"Melbourne",2013
773,"Auto Terminations","Resignation","Manufacturing Support",2006-11-28,-1,1,"Melbourne",2006
778,"Auto Terminations","Retrenchment(2008+)","Mould Design and Draughting",2014-11-18,-1,1,"Melbourne",2014
779,"Auto Terminations","Retirement","Regional Quality",2016-08-20,-1,1,"Adelaide",2016
780,"Auto Terminations","Resignation","Hot End D Shift",2006-07-15,-1,1,"Brisbane",2006
781,"Termination (HR checklist)","Resignation","Batch and Furnace",2005-08-02,-1,1,"Adelaide",2005
782,"Auto Terminations","Resignation","Information Technology",2005-01-01,-1,1,"Melbourne",2005
785,"Auto Terminations","Retirement","Regional Quality",2013-09-01,-1,1,"Melbourne",2013
789,"Auto Terminations","Resignation","Distribution - Queensland",2001-11-17,-1,1,"Brisbane",2001
791,"Auto Terminations","Retirement","Plant Engineering",2014-01-17,-1,1,"Melbourne",2014
796,"Auto Terminations","Retirement","Glass Technology",2007-01-01,-1,1,"Melbourne",2007
797,"Auto Terminations","Retirement","Manufacturing",2007-11-11,-1,1,"Brisbane",2007
799,"Termination (HR checklist)","Non SAP company transfer","Business Services",2004-04-01,-1,1,"Adelaide",2004
800,"Auto Terminations","Retrenchment(2008+)","Plant Engineering",2013-08-10,-1,1,"Melbourne",2013
802,"Auto Terminations","Resignation","Information Technology",2004-10-02,-1,1,"Melbourne",2004
803,"Auto Terminations","Resignation","Job Change",2005-07-30,-1,1,"Melbourne",2005
808,"Auto Terminations","Non SAP Company Transfer","Expatriates",2006-07-01,-1,1,"Other",2006
811,"Auto Terminations","Retirement","Integrated Systems and Risk",2014-11-16,-1,1,"Brisbane",2014
815,"Auto Terminations","Retrenchment(2008+)","ANZ Planning",2017-08-11,-1,1,"Melbourne",2017
817,"Auto Terminations","Retirement","Engineering",2006-11-02,-1,1,"Brisbane",2006
820,"Auto Terminations","Retirement","Operational Advancement",2013-09-01,-1,1,"Melbourne",2013
821,"Auto Terminations","Retirement","Regional Quality",2010-09-01,-1,1,"Melbourne",2010
822,"Auto Terminations","Resignation","Glass Technology",2006-07-10,-1,1,"Melbourne",2006
825,"Auto Terminations","Dismissal","Integrated Systems and Risk",2014-11-26,-1,1,"Melbourne",2014
827,"Auto Terminations","Retrenchment(2008+)","Business Services Melbourne",2014-07-23,-1,1,"Melbourne",2014
832,"Auto Terminations","Resignation","Inspection & Packaging",2008-05-01,-1,1,"Sydney",2008
842,"Auto Terminations","Retirement","Commercial Projects",2015-07-12,-1,1,"Melbourne",2015
843,"Auto Terminations","Retrenchment(2008+)","O-I Australia",2017-02-18,-1,1,"Melbourne",2017
844,"Auto Terminations","Resignation","Inspection & Packaging",2002-01-19,-1,1,"Adelaide",2002
